leader_logistics_skills = {										
### NAVY ###										
 1 = {	cost = 	100	   type = navy	   modifier = {	   naval_hit_chance = 	0.05	   naval_coordination = 	0.02	  }	 }
 14 = {	cost = 	35000	   type = corps_commander	   modifier = {	   supply_consumption_factor = 	-0.35	  }	 }		
 15 = {	cost = 	40000	   type = corps_commander	   modifier = {	   supply_consumption_factor = 	-0.375	  }	 }		
 16 = {	cost = 	50000	   type = corps_commander	   modifier = {	   supply_consumption_factor = 	-0.4	  }	 }		
 17 = {	cost = 	60000	   type = corps_commander	   modifier = {	   supply_consumption_factor = 	-0.425	  }	 }		
 18 = {	cost = 	70000	   type = corps_commander	   modifier = {	   supply_consumption_factor = 	-0.45	  }	 }		
 19 = {	cost = 	80000	   type = corps_commander	   modifier = {	   supply_consumption_factor = 	-0.475	  }	 }		
 20 = {	cost = 	90000	   type = corps_commander	   modifier = {	   supply_consumption_factor = 	-0.5	  }	 }		
										
### Field Marshal ###										
 1 = {	cost = 	100	   type = field_marshal	   modifier = {	   supply_consumption_factor = 	-0.025	  }	 }		
 2 = {	cost = 	300	   type = field_marshal	   modifier = {	   supply_consumption_factor = 	-0.05	  }	 }		
 3 = {	cost = 	500	   type = field_marshal	   modifier = {	   supply_consumption_factor = 	-0.075	  }	 }		
 4 = {	cost = 	1000	   type = field_marshal	   modifier = {	   supply_consumption_factor = 	-0.1	  }	 }		
 5 = {	cost = 	1500	   type = field_marshal	   modifier = {	   supply_consumption_factor = 	-0.125	  }	 }		
 6 = {	cost = 	2500	   type = field_marshal	   modifier = {	   supply_consumption_factor = 	-0.15	  }	 }		
 7 = {	cost = 	5000	   type = field_marshal	   modifier = {	   supply_consumption_factor = 	-0.175	  }	 }		
 8 = {	cost = 	7500	   type = field_marshal	   modifier = {	   supply_consumption_factor = 	-0.2	  }	 }		
 9 = {	cost = 	10000	   type = field_marshal	   modifier = {	   supply_consumption_factor = 	-0.225	  }	 }		
 10 = {	cost = 	15000	   type = field_marshal	   modifier = {	   supply_consumption_factor = 	-0.25	  }	 }		
 11 = {	cost = 	20000	   type = field_marshal	   modifier = {	   supply_consumption_factor = 	-0.275	  }	 }		
 12 = {	cost = 	25000	   type = field_marshal	   modifier = {	   supply_consumption_factor = 	-0.3	  }	 }		
 13 = {	cost = 	30000	   type = field_marshal	   modifier = {	   supply_consumption_factor = 	-0.325	  }	 }		
 14 = {	cost = 	35000	   type = field_marshal	   modifier = {	   supply_consumption_factor = 	-0.35	  }	 }		
 15 = {	cost = 	40000	   type = field_marshal	   modifier = {	   supply_consumption_factor = 	-0.375	  }	 }		
 16 = {	cost = 	50000	   type = field_marshal	   modifier = {	   supply_consumption_factor = 	-0.4	  }	 }		
 17 = {	cost = 	60000	   type = field_marshal	   modifier = {	   supply_consumption_factor = 	-0.425	  }	 }		
 18 = {	cost = 	70000	   type = field_marshal	   modifier = {	   supply_consumption_factor = 	-0.45	  }	 }		
 19 = {	cost = 	80000	   type = field_marshal	   modifier = {	   supply_consumption_factor = 	-0.475	  }	 }		
 20 = {	cost = 	90000	   type = field_marshal	   modifier = {	   supply_consumption_factor = 	-0.5	  }	 }		

}
