leader_attack_skills = {								
### NAVY ###								
 1 = {	cost = 	100	      type = navy	   modifier = {	   naval_damage_factor = 	0.05	  }	 }
 14 = {	cost = 	25000	   type = field_marshal	   modifier = {	   offence = 	0.7	  }	 }
 15 = {	cost = 	30000	   type = field_marshal	   modifier = {	   offence = 	0.75	  }	 }
 16 = {	cost = 	40000	   type = field_marshal	   modifier = {	   offence = 	0.8	  }	 }
 17 = {	cost = 	50000	   type = field_marshal	   modifier = {	   offence = 	0.85	  }	 }
 18 = {	cost = 	60000	   type = field_marshal	   modifier = {	   offence = 	0.9	  }	 }
 19 = {	cost = 	70000	   type = field_marshal	   modifier = {	   offence = 	0.95	  }	 }
 20 = {	cost = 	80000	   type = field_marshal	   modifier = {	   offence = 	1	  }	 }




}
